sale_id,purchase_date,motorcycle_name,motorcycle_group,dealer_origin,price,qty,total
92,2023/11/18,pax,matic,denpasar,33000000,7,33000000
93,2023/12/10,riorio,matic,jakarta,20000000,7,80000000
94,2023/12/13,riorio,matic,jakarta,20000000,2,60000000
95,2023/12/22,bitbit,matic,denpasar,17000000,4,17000000
100,2023/12/15,riorio,matic,bogor,20000000,9,60000000
102,2023/12/20,vovo,cub,bandung,15000000,10,30000000
105,2023/12/27,deva,matic,bandung,34000000,3,68000000
107,2023/12/29,bitbit,matic,bogor,17000000,3,85000000
108,2023/11/20,riorio,matic,denpasar,20000000,11,80000000
110,2023/12/20,pax,matic,bogor,33000000,10,66000000
112,2023/11/11,bitbit,matic,bandung,17000000,10,85000000
114,2023/12/08,pax,matic,bogor,33000000,5,66000000
117,2023/11/07,bitbit,matic,bogor,17000000,2,17000000
118,2023/11/15,bitbit,matic,bandung,17000000,2,51000000
119,2023/11/30,bitbit,matic,jakarta,17000000,2,51000000
121,2023/12/14,riorio,matic,bandung,20000000,6,20000000
123,2023/11/06,deva,matic,denpasar,34000000,1,68000000
124,2023/12/19,riorio,matic,denpasar,20000000,2,60000000
126,2023/12/29,bitbit,matic,bogor,17000000,11,85000000
127,2023/12/30,pax,matic,denpasar,33000000,5,99000000
128,2023/12/07,riorio,matic,jakarta,20000000,11,40000000
129,2023/11/24,riorio,matic,denpasar,20000000,2,40000000
131,2023/12/23,deva,matic,denpasar,34000000,7,68000000
132,2023/12/17,riorio,matic,denpasar,20000000,9,40000000
134,2023/12/01,riorio,matic,bogor,20000000,3,40000000
136,2023/11/02,bitbit,matic,jakarta,17000000,11,68000000
140,2023/12/17,riorio,matic,denpasar,20000000,7,20000000
143,2023/12/21,bitbit,matic,bogor,17000000,10,51000000
144,2023/11/23,riorio,matic,bogor,20000000,10,40000000
145,2023/12/02,riorio,matic,denpasar,20000000,7,60000000
147,2023/11/14,bitbit,matic,jakarta,17000000,9,51000000
148,2023/11/09,riorio,matic,bogor,20000000,11,60000000
150,2023/12/04,riorio,matic,bogor,20000000,6,80000000
151,2023/11/28,bitbit,matic,bogor,17000000,10,34000000
154,2023/11/09,bitbit,matic,denpasar,17000000,11,51000000
156,2023/11/18,bitbit,matic,denpasar,17000000,10,85000000
157,2023/12/18,bitbit,matic,bogor,17000000,11,34000000
158,2023/11/14,vovo,cub,denpasar,15000000,1,60000000
159,2023/11/08,bitbit,matic,denpasar,17000000,6,85000000
161,2023/12/22,bitbit,matic,bogor,17000000,2,68000000
162,2023/11/08,bitbit,matic,bogor,17000000,9,68000000
163,2023/11/19,riorio,matic,bogor,20000000,10,20000000
165,2023/11/27,bitbit,matic,denpasar,17000000,10,34000000
167,2023/12/03,bitbit,matic,jakarta,17000000,4,34000000
170,2023/11/28,deva,matic,jakarta,34000000,6,68000000
172,2023/11/06,deva,matic,bogor,34000000,7,68000000
176,2023/12/01,riorio,matic,bandung,20000000,2,60000000
177,2023/12/30,riorio,matic,denpasar,20000000,9,40000000
178,2023/12/05,deva,matic,denpasar,34000000,8,34000000
180,2023/11/12,riorio,matic,denpasar,20000000,9,80000000
181,2023/12/23,bitbit,matic,bogor,17000000,5,68000000
182,2023/11/21,riorio,matic,jakarta,20000000,4,80000000
184,2023/11/19,riorio,matic,palembang,20000000,9,80000000
185,2023/12/21,vovo,cub,jakarta,15000000,5,30000000
186,2023/11/13,riorio,matic,jakarta,20000000,5,40000000
188,2023/11/17,bitbit,matic,palembang,17000000,5,51000000
190,2023/12/26,bitbit,matic,bogor,17000000,6,51000000
191,2023/11/08,deva,matic,bandung,34000000,10,34000000
195,2023/11/29,pax,matic,bogor,33000000,10,66000000
199,2023/11/26,riorio,matic,jakarta,20000000,7,20000000
200,2023/11/25,riorio,matic,denpasar,20000000,11,60000000
203,2023/11/08,riorio,matic,bogor,20000000,6,20000000
204,2023/11/14,riorio,matic,denpasar,20000000,4,80000000
207,2023/12/24,bitbit,matic,bandung,17000000,10,51000000
209,2023/11/08,bitbit,matic,bogor,17000000,8,85000000
210,2023/12/26,bitbit,matic,jakarta,17000000,8,68000000
212,2023/12/25,bitbit,matic,bandung,17000000,6,85000000
214,2023/12/06,riorio,matic,bogor,20000000,9,40000000
215,2023/12/07,riorio,matic,bogor,20000000,5,80000000
217,2023/11/08,bitbit,matic,denpasar,17000000,10,34000000
218,2023/11/30,riorio,matic,jakarta,20000000,2,80000000
220,2023/12/28,bitbit,matic,denpasar,17000000,9,34000000
223,2023/11/10,bitbit,matic,medan,17000000,10,68000000
224,2023/12/29,bitbit,matic,bogor,17000000,7,34000000
225,2023/11/10,riorio,matic,bogor,20000000,3,80000000
228,2023/12/14,bitbit,matic,bogor,17000000,7,34000000
230,2023/11/27,riorio,matic,bogor,20000000,11,60000000
231,2023/11/18,riorio,matic,bogor,20000000,7,60000000
233,2023/12/06,vovo,cub,denpasar,15000000,5,15000000
235,2023/12/07,bitbit,matic,denpasar,17000000,3,34000000
236,2023/12/16,riorio,matic,bandung,20000000,5,40000000
237,2023/11/28,bitbit,matic,jakarta,17000000,4,85000000
238,2023/12/15,riorio,matic,bogor,20000000,4,60000000
241,2023/11/07,bitbit,matic,denpasar,17000000,1,51000000
242,2023/12/02,riorio,matic,palembang,20000000,10,80000000
244,2023/11/16,bitbit,matic,denpasar,17000000,7,51000000
250,2023/12/24,riorio,matic,jakarta,20000000,8,80000000
251,2023/11/06,riorio,matic,bandung,20000000,6,40000000
252,2023/11/06,vovo,cub,bogor,15000000,2,75000000
253,2023/11/12,riorio,matic,bogor,20000000,6,60000000
254,2023/11/27,bitbit,matic,jakarta,17000000,11,85000000
259,2023/11/04,bitbit,matic,bogor,17000000,8,51000000
260,2023/11/11,riorio,matic,bogor,20000000,6,60000000
261,2023/11/07,pax,matic,denpasar,33000000,4,66000000
262,2023/11/25,deva,matic,jakarta,34000000,3,34000000
263,2023/11/12,arpus,cub,bandung,18000000,11,90000000
266,2023/11/22,bitbit,matic,jakarta,17000000,6,51000000
268,2023/12/07,bitbit,matic,palembang,17000000,5,51000000
269,2023/12/07,bitbit,matic,jakarta,17000000,10,85000000
270,2023/11/16,riorio,matic,bogor,20000000,5,80000000
272,2023/11/25,bitbit,matic,bogor,17000000,8,85000000
274,2023/12/30,bitbit,matic,bogor,17000000,7,51000000
275,2023/11/17,bitbit,matic,bandung,17000000,6,68000000
276,2023/12/01,bitbit,matic,bandung,17000000,6,51000000
278,2023/12/20,bitbit,matic,jakarta,17000000,5,68000000
279,2023/11/29,deva,matic,jakarta,34000000,7,68000000
280,2023/11/05,deva,matic,bandung,34000000,7,34000000
281,2023/11/11,bitbit,matic,bandung,17000000,2,85000000
285,2023/12/07,pax,matic,bogor,33000000,5,99000000
286,2023/11/10,pax,matic,denpasar,33000000,4,99000000
289,2023/12/18,vovo,cub,denpasar,15000000,2,90000000
290,2023/12/26,deva,matic,bandung,34000000,6,68000000
291,2023/11/11,bitbit,matic,bogor,17000000,2,34000000
293,2023/11/10,bitbit,matic,bogor,17000000,7,85000000
296,2023/12/16,bitbit,matic,bogor,17000000,9,85000000
297,2023/11/12,riorio,matic,bogor,20000000,5,60000000
298,2023/11/24,riorio,matic,bogor,20000000,4,80000000
300,2023/12/11,bitbit,matic,jakarta,17000000,2,68000000
301,2023/12/05,bitbit,matic,jakarta,17000000,10,51000000
303,2023/12/30,bitbit,matic,jakarta,17000000,2,85000000
305,2023/12/06,bitbit,matic,jakarta,17000000,2,34000000
308,2023/11/17,deva,matic,denpasar,34000000,2,68000000
309,2023/11/05,riorio,matic,denpasar,20000000,6,80000000
311,2023/11/18,bitbit,matic,bogor,17000000,4,51000000
312,2023/11/21,pax,matic,jakarta,33000000,7,99000000
313,2023/12/19,riorio,matic,bogor,20000000,9,40000000
319,2023/12/20,bitbit,matic,denpasar,17000000,8,85000000
320,2023/11/11,riorio,matic,denpasar,20000000,1,80000000
321,2023/12/17,bitbit,matic,palembang,17000000,9,68000000
324,2023/12/18,bitbit,matic,bogor,17000000,1,85000000
325,2023/12/13,riorio,matic,bogor,20000000,11,20000000
326,2023/11/08,riorio,matic,denpasar,20000000,10,60000000
327,2023/11/11,riorio,matic,bogor,20000000,1,60000000
328,2023/11/12,riorio,matic,palembang,20000000,10,80000000
330,2023/12/02,riorio,matic,bogor,20000000,1,80000000
331,2023/12/24,riorio,matic,bandung,20000000,8,60000000
334,2023/11/12,bitbit,matic,bogor,17000000,9,85000000
335,2023/11/12,riorio,matic,jakarta,20000000,10,60000000
336,2023/12/28,deva,matic,bogor,34000000,9,34000000
337,2023/11/21,vovo,cub,denpasar,15000000,8,60000000
339,2023/11/04,pax,matic,jakarta,33000000,5,33000000
343,2023/12/18,riorio,matic,jakarta,20000000,11,20000000
345,2023/11/13,pax,matic,bogor,33000000,5,66000000
346,2023/12/17,bitbit,matic,bogor,17000000,6,51000000
347,2023/11/27,riorio,matic,bogor,20000000,2,80000000
348,2023/12/21,bitbit,matic,bandung,17000000,7,85000000
350,2023/12/19,bitbit,matic,denpasar,17000000,10,85000000
351,2023/12/13,bitbit,matic,bogor,17000000,10,68000000
356,2023/12/07,riorio,matic,bogor,20000000,4,80000000
358,2023/11/04,bitbit,matic,bogor,17000000,10,34000000
359,2023/11/07,bitbit,matic,bogor,17000000,6,51000000
361,2023/11/04,bitbit,matic,bandung,17000000,1,51000000
362,2023/12/13,riorio,matic,bogor,20000000,6,40000000
363,2023/12/26,bitbit,matic,jakarta,17000000,1,17000000
364,2023/12/26,bitbit,matic,jakarta,17000000,1,68000000
366,2023/12/07,bitbit,matic,bandung,17000000,2,85000000
368,2023/11/21,riorio,matic,bogor,20000000,4,40000000
370,2023/11/29,deva,matic,bogor,34000000,2,68000000
371,2023/11/25,vovo,cub,denpasar,15000000,5,45000000
372,2023/12/15,vovo,cub,bogor,15000000,8,75000000
373,2023/11/05,bitbit,matic,bogor,17000000,5,17000000
375,2023/12/30,vovo,cub,bogor,15000000,5,75000000
377,2023/11/18,bitbit,matic,jakarta,17000000,6,51000000
379,2023/11/21,riorio,matic,bandung,20000000,3,80000000
380,2023/12/22,bitbit,matic,bandung,17000000,10,85000000
381,2023/11/17,bitbit,matic,bogor,17000000,10,85000000
384,2023/11/11,deva,matic,bogor,34000000,4,68000000
386,2023/11/25,bitbit,matic,bandung,17000000,8,34000000
387,2023/11/24,riorio,matic,denpasar,20000000,3,80000000
388,2023/12/23,riorio,matic,denpasar,20000000,4,40000000
390,2023/11/05,riorio,matic,bogor,20000000,5,40000000
391,2023/12/15,pax,matic,denpasar,33000000,10,33000000
392,2023/12/10,bitbit,matic,denpasar,17000000,8,34000000
395,2023/12/23,bitbit,matic,denpasar,17000000,6,51000000
396,2023/11/12,riorio,matic,bogor,20000000,3,60000000
397,2023/12/23,pax,matic,jakarta,33000000,8,33000000
398,2023/11/13,riorio,matic,bogor,20000000,6,80000000
399,2023/12/13,pax,matic,denpasar,33000000,8,99000000
401,2023/12/17,bitbit,matic,bandung,17000000,4,68000000
404,2023/12/08,pax,matic,jakarta,33000000,9,33000000
405,2023/12/27,bitbit,matic,bogor,17000000,1,34000000
408,2023/11/04,deva,matic,bandung,34000000,6,68000000
411,2023/11/12,bitbit,matic,denpasar,17000000,9,34000000
412,2023/12/07,riorio,matic,bogor,20000000,11,20000000
413,2023/11/19,riorio,matic,bandung,20000000,9,80000000
415,2023/11/09,bitbit,matic,bogor,17000000,10,51000000
419,2023/12/24,vovo,cub,bogor,15000000,10,60000000
421,2023/11/09,riorio,matic,bogor,20000000,4,40000000
425,2023/12/29,bitbit,matic,denpasar,17000000,3,68000000
426,2023/11/12,bitbit,matic,bandung,17000000,4,34000000
430,2023/11/16,riorio,matic,bogor,20000000,8,40000000
432,2023/11/17,deva,matic,bogor,34000000,3,68000000
433,2023/12/14,deva,matic,denpasar,34000000,6,68000000
438,2023/12/29,deva,matic,denpasar,34000000,9,34000000
440,2023/12/25,bitbit,matic,bandung,17000000,10,17000000
441,2023/11/27,bitbit,matic,denpasar,17000000,10,17000000
442,2023/12/06,riorio,matic,jakarta,20000000,8,20000000
443,2023/11/13,vovo,cub,jakarta,15000000,7,60000000
448,2023/11/11,bitbit,matic,denpasar,17000000,6,17000000
449,2023/12/18,riorio,matic,bogor,20000000,6,40000000
451,2023/12/11,pax,matic,denpasar,33000000,5,33000000
453,2023/12/11,riorio,matic,jakarta,20000000,9,80000000
455,2023/11/25,riorio,matic,bandung,20000000,1,80000000
457,2023/11/26,riorio,matic,bogor,20000000,8,80000000
459,2023/12/05,riorio,matic,denpasar,20000000,6,40000000
464,2023/11/01,deva,matic,bogor,34000000,10,68000000
466,2023/11/01,bitbit,matic,jakarta,17000000,8,51000000
467,2023/12/27,bitbit,matic,bogor,17000000,8,68000000
469,2023/12/14,bitbit,matic,bogor,17000000,2,85000000
471,2023/11/03,riorio,matic,bandung,20000000,10,40000000
474,2023/12/06,riorio,matic,bogor,20000000,2,20000000
476,2023/12/20,riorio,matic,bandung,20000000,4,60000000
477,2023/12/22,riorio,matic,jakarta,20000000,2,80000000
480,2023/12/03,bitbit,matic,denpasar,17000000,5,51000000
481,2023/12/02,bitbit,matic,denpasar,17000000,11,85000000
484,2023/12/02,pax,matic,bogor,33000000,10,33000000
485,2023/11/21,riorio,matic,bandung,20000000,11,60000000
486,2023/11/29,deva,matic,jakarta,34000000,6,68000000
488,2023/11/15,riorio,matic,jakarta,20000000,2,60000000
489,2023/11/20,bitbit,matic,denpasar,17000000,6,68000000
491,2023/11/27,riorio,matic,jakarta,20000000,7,80000000
492,2023/11/28,bitbit,matic,denpasar,17000000,2,85000000
493,2023/12/27,deva,matic,jakarta,34000000,6,34000000
494,2023/12/25,riorio,matic,bogor,20000000,7,60000000
495,2023/12/27,riorio,matic,bogor,20000000,3,60000000
498,2023/12/22,vovo,cub,denpasar,15000000,6,60000000
499,2023/11/06,deva,matic,denpasar,34000000,6,68000000
501,2023/12/11,bitbit,matic,bandung,17000000,10,34000000
503,2023/11/29,deva,matic,bogor,34000000,2,34000000
510,2023/12/13,riorio,matic,bogor,20000000,7,80000000
511,2023/12/30,riorio,matic,jakarta,20000000,5,80000000
513,2023/11/12,riorio,matic,bogor,20000000,4,20000000
515,2023/11/16,riorio,matic,bogor,20000000,2,80000000
518,2023/11/24,deva,matic,bogor,34000000,3,34000000
519,2023/12/16,pax,matic,denpasar,33000000,10,33000000
520,2023/11/11,deva,matic,denpasar,34000000,8,68000000
522,2023/11/21,vovo,cub,bogor,15000000,3,90000000
523,2023/11/15,bitbit,matic,jakarta,17000000,6,85000000
526,2023/12/10,bitbit,matic,bogor,17000000,2,68000000
527,2023/11/30,deva,matic,denpasar,34000000,4,34000000
528,2023/12/02,bitbit,matic,palembang,17000000,4,85000000
530,2023/11/01,vovo,cub,bogor,15000000,8,15000000
531,2023/12/14,bitbit,matic,denpasar,17000000,8,85000000
532,2023/11/16,riorio,matic,palembang,20000000,11,60000000
533,2023/11/28,riorio,matic,bogor,20000000,4,60000000
534,2023/11/02,riorio,matic,bogor,20000000,6,80000000
535,2023/11/13,riorio,matic,bogor,20000000,2,80000000
539,2023/12/08,deva,matic,bogor,34000000,10,68000000
541,2023/12/21,riorio,matic,jakarta,20000000,9,20000000
542,2023/11/30,riorio,matic,bandung,20000000,3,60000000
543,2023/12/24,riorio,matic,palembang,20000000,6,80000000
544,2023/12/19,bitbit,matic,jakarta,17000000,1,17000000
545,2023/12/08,bitbit,matic,denpasar,17000000,10,17000000
546,2023/12/27,bitbit,matic,bogor,17000000,4,85000000
548,2023/12/01,bitbit,matic,bandung,17000000,5,51000000
550,2023/11/23,bitbit,matic,denpasar,17000000,3,85000000
552,2023/12/24,riorio,matic,jakarta,20000000,8,40000000
553,2023/12/28,riorio,matic,bogor,20000000,4,60000000
557,2023/12/14,riorio,matic,bogor,20000000,4,40000000
558,2023/12/15,vovo,cub,bogor,15000000,8,60000000
561,2023/12/24,bitbit,matic,bogor,17000000,5,85000000
567,2023/12/12,bitbit,matic,bogor,17000000,9,68000000
569,2023/11/15,bitbit,matic,denpasar,17000000,6,34000000
570,2023/12/06,riorio,matic,bogor,20000000,11,80000000
573,2023/12/25,bitbit,matic,bogor,17000000,1,34000000
574,2023/11/01,bitbit,matic,bandung,17000000,6,85000000
576,2023/11/25,riorio,matic,bogor,20000000,8,80000000
580,2023/12/13,vovo,cub,denpasar,15000000,10,30000000
583,2023/11/02,bitbit,matic,bogor,17000000,4,68000000
585,2023/12/30,riorio,matic,bogor,20000000,3,40000000
586,2023/12/15,deva,matic,denpasar,34000000,9,68000000
587,2023/12/01,riorio,matic,bogor,20000000,6,80000000
590,2023/11/26,deva,matic,denpasar,34000000,6,34000000
594,2023/12/23,riorio,matic,bogor,20000000,11,80000000
596,2023/11/21,riorio,matic,palembang,20000000,3,40000000
597,2023/12/20,bitbit,matic,bogor,17000000,2,85000000
598,2023/12/28,riorio,matic,bogor,20000000,3,40000000
599,2023/11/27,riorio,matic,jakarta,20000000,2,40000000
601,2023/11/28,bitbit,matic,denpasar,17000000,11,85000000
604,2023/12/20,vovo,cub,denpasar,15000000,7,15000000
606,2023/12/12,vovo,cub,bogor,15000000,11,15000000
607,2023/12/23,bitbit,matic,bandung,17000000,5,51000000
608,2023/12/01,riorio,matic,jakarta,20000000,10,60000000
610,2023/11/27,riorio,matic,denpasar,20000000,10,20000000
611,2023/12/26,bitbit,matic,bandung,17000000,3,34000000
612,2023/12/28,riorio,matic,bandung,20000000,10,20000000
616,2023/11/01,riorio,matic,bogor,20000000,8,60000000
618,2023/12/07,deva,matic,denpasar,34000000,8,34000000
620,2023/12/11,riorio,matic,bogor,20000000,10,20000000
621,2023/12/04,riorio,matic,denpasar,20000000,5,60000000
623,2023/12/13,bitbit,matic,denpasar,17000000,4,51000000
627,2023/12/04,riorio,matic,bogor,20000000,6,20000000
629,2023/11/13,deva,matic,denpasar,34000000,3,68000000
630,2023/12/26,bitbit,matic,bogor,17000000,6,34000000
631,2023/11/28,pax,matic,denpasar,33000000,5,99000000
634,2023/11/16,bitbit,matic,bogor,17000000,8,34000000
636,2023/11/01,deva,matic,palembang,34000000,4,34000000
637,2023/11/11,riorio,matic,bandung,20000000,9,40000000
638,2023/11/21,deva,matic,denpasar,34000000,10,34000000
640,2023/11/13,bitbit,matic,denpasar,17000000,1,68000000
641,2023/12/18,bitbit,matic,bogor,17000000,8,85000000
642,2023/12/21,deva,matic,denpasar,34000000,6,68000000
643,2023/11/11,riorio,matic,bogor,20000000,7,40000000
644,2023/11/26,riorio,matic,bandung,20000000,5,20000000
645,2023/11/19,riorio,matic,jakarta,20000000,2,60000000
646,2023/11/28,riorio,matic,denpasar,20000000,8,60000000
647,2023/11/11,bitbit,matic,bandung,17000000,6,17000000
649,2023/11/20,bitbit,matic,denpasar,17000000,10,34000000
651,2023/12/29,bitbit,matic,palembang,17000000,9,17000000
652,2023/12/09,bitbit,matic,palembang,17000000,4,85000000
654,2023/12/10,deva,matic,bogor,34000000,10,34000000
655,2023/11/14,riorio,matic,denpasar,20000000,11,40000000
657,2023/11/28,bitbit,matic,bogor,17000000,3,68000000
660,2023/12/02,bitbit,matic,jakarta,17000000,2,51000000
661,2023/12/19,riorio,matic,denpasar,20000000,2,60000000
662,2023/12/15,riorio,matic,bandung,20000000,7,80000000
663,2023/11/04,bitbit,matic,palembang,17000000,1,34000000
666,2023/11/23,bitbit,matic,denpasar,17000000,8,68000000
667,2023/11/18,bitbit,matic,denpasar,17000000,1,51000000
668,2023/12/07,bitbit,matic,bogor,17000000,2,68000000
672,2023/11/17,bitbit,matic,bogor,17000000,2,68000000
673,2023/11/20,riorio,matic,bogor,20000000,3,40000000
677,2023/11/18,deva,matic,bogor,34000000,9,34000000
678,2023/11/01,bitbit,matic,denpasar,17000000,10,51000000
679,2023/12/18,bitbit,matic,bandung,17000000,11,34000000
681,2023/11/27,bitbit,matic,denpasar,17000000,5,34000000
682,2023/12/03,vovo,cub,bogor,15000000,4,45000000
683,2023/11/17,bitbit,matic,bogor,17000000,4,17000000
688,2023/11/18,riorio,matic,bogor,20000000,2,20000000
689,2023/11/25,pax,matic,denpasar,33000000,4,99000000
690,2023/11/02,pax,matic,bandung,33000000,2,66000000
691,2023/11/27,bitbit,matic,bogor,17000000,6,85000000
693,2023/11/03,deva,matic,jakarta,34000000,9,68000000
699,2023/12/24,riorio,matic,bandung,20000000,4,80000000
701,2023/11/24,deva,matic,jakarta,34000000,3,34000000
702,2023/11/05,pax,matic,bandung,33000000,4,99000000
710,2023/11/30,deva,matic,bandung,34000000,5,68000000
712,2023/12/27,riorio,matic,denpasar,20000000,2,40000000
719,2023/11/08,riorio,matic,bogor,20000000,7,80000000
720,2023/11/03,riorio,matic,jakarta,20000000,5,20000000
723,2023/12/21,vovo,cub,denpasar,15000000,9,60000000
724,2023/11/27,riorio,matic,denpasar,20000000,5,80000000
726,2023/11/18,riorio,matic,bogor,20000000,6,60000000
727,2023/12/27,bitbit,matic,jakarta,17000000,10,85000000
728,2023/12/14,pax,matic,bogor,33000000,6,66000000
731,2023/11/30,bitbit,matic,bogor,17000000,4,85000000
733,2023/12/25,riorio,matic,bandung,20000000,4,40000000
736,2023/12/15,pax,matic,bogor,33000000,5,99000000
738,2023/12/24,cb-150r,sport,bandung,33000000,8,99000000
739,2023/12/06,bitbit,matic,bogor,17000000,6,85000000
743,2023/12/13,vovo,cub,denpasar,15000000,1,75000000
744,2023/12/22,bitbit,matic,palembang,17000000,10,51000000
745,2023/11/11,deva,matic,bogor,34000000,7,68000000
747,2023/11/18,riorio,matic,bogor,20000000,10,40000000
749,2023/12/13,bitbit,matic,bogor,17000000,6,68000000
750,2023/12/19,bitbit,matic,bogor,17000000,5,51000000
751,2023/12/23,riorio,matic,bandung,20000000,3,60000000
752,2023/11/23,riorio,matic,bandung,20000000,4,60000000
754,2023/11/16,bitbit,matic,bogor,17000000,8,34000000
755,2023/12/12,deva,matic,jakarta,34000000,6,68000000
757,2023/11/17,riorio,matic,bogor,20000000,2,80000000
758,2023/11/27,riorio,matic,bandung,20000000,6,80000000
759,2023/12/11,bitbit,matic,bogor,17000000,8,34000000
760,2023/12/03,pax,matic,bogor,33000000,7,99000000
761,2023/12/26,deva,matic,denpasar,34000000,8,34000000
762,2023/11/17,riorio,matic,jakarta,20000000,5,80000000
765,2023/12/30,bitbit,matic,bogor,17000000,3,34000000
766,2023/12/10,deva,matic,bandung,34000000,10,68000000
767,2023/11/29,deva,matic,denpasar,34000000,1,34000000
769,2023/11/28,riorio,matic,denpasar,20000000,5,40000000
770,2023/12/21,bitbit,matic,denpasar,17000000,7,85000000
771,2023/12/07,deva,matic,denpasar,34000000,8,68000000
774,2023/11/16,bitbit,matic,denpasar,17000000,8,51000000
775,2023/12/25,bitbit,matic,bogor,17000000,7,85000000
777,2023/12/14,riorio,matic,bogor,20000000,5,80000000
778,2023/12/08,riorio,matic,jakarta,20000000,1,40000000
780,2023/11/20,riorio,matic,denpasar,20000000,10,20000000
781,2023/11/10,pax,matic,bogor,33000000,10,99000000
782,2023/12/14,riorio,matic,denpasar,20000000,3,40000000
785,2023/11/08,deva,matic,bogor,34000000,4,34000000
786,2023/11/25,riorio,matic,bandung,20000000,4,40000000
789,2023/12/04,riorio,matic,bogor,20000000,8,20000000
790,2023/12/05,riorio,matic,denpasar,20000000,2,60000000
791,2023/12/12,pax,matic,bandung,33000000,10,99000000
792,2023/12/21,riorio,matic,denpasar,20000000,9,40000000
793,2023/11/01,riorio,matic,palembang,20000000,7,40000000
794,2023/12/07,pax,matic,bogor,33000000,3,99000000
795,2023/11/06,bitbit,matic,jakarta,17000000,4,51000000
797,2023/11/10,riorio,matic,bogor,20000000,9,40000000
798,2023/12/04,bitbit,matic,denpasar,17000000,5,85000000
800,2023/12/10,riorio,matic,denpasar,20000000,7,80000000
802,2023/11/06,bitbit,matic,denpasar,17000000,3,85000000
807,2023/11/03,bitbit,matic,denpasar,17000000,7,51000000
810,2023/12/15,riorio,matic,denpasar,20000000,2,60000000
811,2023/11/27,riorio,matic,denpasar,20000000,10,80000000
815,2023/11/09,riorio,matic,bogor,20000000,8,60000000
816,2023/12/03,riorio,matic,denpasar,20000000,1,80000000
817,2023/12/26,bitbit,matic,denpasar,17000000,9,85000000
819,2023/12/21,riorio,matic,denpasar,20000000,10,20000000
821,2023/12/05,riorio,matic,jakarta,20000000,7,60000000
822,2023/12/07,bitbit,matic,bandung,17000000,3,85000000
